,Date,median_transaction_fee3momUSD,fee_to_reward7momUSD,top100cap7mom,mining_profitability7rsi,top100cap14mom,price3wmaUSD,transactionvalue90emaUSD,difficulty30sma,fee_to_reward90smaUSD
0,2010/07/17,0.0,0.0,-0.508,0.0,-0.088,0.0,0.0,29.004,0.0
1,2010/07/18,0.0,0.0,-0.477,0.0,-0.327,0.0,0.0,34.476,0.0
2,2010/07/19,0.0,0.0,-0.184,0.0,-0.49,0.075,0.0,39.948,0.0
3,2010/07/20,0.0,0.0,0.005,0.0,-0.532,0.08,0.0,45.421,0.0
4,2010/07/21,0.0,0.0,0.163,0.0,-0.599,0.079,0.0,50.893,0.0
5,2010/07/22,0.0,0.0,-0.009,0.0,-0.592,0.071,0.0,56.365,0.0
6,2010/07/23,0.0,0.0,-0.141,0.0,-0.671,0.063,0.0,61.837,0.0
7,2010/07/24,0.0,-0.001,-0.222,65.743,-0.73,0.059,0.0,67.278,0.0
8,2010/07/25,0.0,0.012,-0.276,64.558,-0.754,0.055,0.0,72.683,0.0
9,2010/07/26,0.0,0.024,0.624,60.058,0.44,0.054,0.0,78.088,0.0
10,2010/07/27,0.0,0.013,0.761,48.523,0.766,0.055,0.0,85.418,0.0
11,2010/07/28,0.0,0.014,0.717,53.541,0.879,0.058,0.0,92.911,0.0
12,2010/07/29,0.0,0.011,0.765,57.499,0.756,0.062,0.0,100.405,0.0
13,2010/07/30,0.0,0.007,0.854,57.027,0.714,0.065,0.0,107.899,0.0
14,2010/07/31,0.0,0.009,0.773,59.878,0.551,0.066,0.0,115.392,0.0
15,2010/08/01,0.0,-0.021,0.796,55.166,0.519,0.064,0.0,122.886,0.0
16,2010/08/02,0.0,-0.021,-0.076,50.517,0.548,0.062,0.0,130.379,0.0
17,2010/08/03,0.0,-0.013,-0.084,47.835,0.678,0.061,0.0,137.873,0.0
18,2010/08/04,0.0,-0.014,-0.175,53.915,0.541,0.06,0.0,145.367,0.0
19,2010/08/05,0.0,-0.011,-0.141,42.702,0.624,0.06,0.0,153.231,0.0
20,2010/08/06,0.0,-0.007,-0.17,33.673,0.685,0.061,0.0,164.186,0.0
21,2010/08/07,0.0,0.059,-0.129,41.63,0.645,0.061,0.0,175.142,0.0
22,2010/08/08,0.0,-0.008,-0.152,44.419,0.644,0.06,0.0,186.097,0.0
23,2010/08/09,0.0,0.078,0.093,42.709,0.018,0.063,0.0,197.052,0.0
24,2010/08/10,0.0,0.0,-0.019,47.071,-0.103,0.066,0.0,208.008,0.0
25,2010/08/11,0.0,0.0,0.265,46.712,0.09,0.066,0.0,218.963,0.0
26,2010/08/12,0.0,0.0,0.085,45.591,-0.055,0.067,0.0,229.526,0.0
27,2010/08/13,0.0,0.0,0.21,41.733,0.04,0.066,0.0,239.752,0.0
28,2010/08/14,0.0,-0.069,0.166,55.706,0.037,0.066,0.0,249.978,0.0
29,2010/08/15,0.0,0.0,0.151,32.975,-0.001,0.066,0.0,260.897,0.0
30,2010/08/16,0.0,-0.069,0.111,35.597,0.205,0.065,0.0,271.905,0.0
31,2010/08/17,0.0,0.0,0.31,34.909,0.291,0.066,0.0,282.912,0.0
32,2010/08/18,0.0,0.036,0.091,40.123,0.356,0.068,0.0,293.92,0.0
33,2010/08/19,0.0,0.0,0.203,38.535,0.288,0.068,0.0,304.928,0.0
34,2010/08/20,0.0,0.0,0.157,47.224,0.367,0.067,0.0,315.935,0.0
35,2010/08/21,0.0,0.0,0.188,38.461,0.354,0.066,0.0,326.943,0.0
36,2010/08/22,0.0,0.0,0.241,44.815,0.392,0.066,0.0,337.951,0.0
37,2010/08/23,0.0,-0.013,0.085,41.633,0.197,0.066,0.0,348.958,0.0
38,2010/08/24,0.0,0.017,-0.007,41.577,0.304,0.065,0.0,359.966,0.0
39,2010/08/25,0.0,-0.036,-0.051,40.466,0.04,0.065,0.0,370.974,0.0
40,2010/08/26,0.0,0.0,-0.033,39.832,0.169,0.065,0.0,380.215,0.0
