,Date,priceUSD
0,2010/07/17,0.0495
1,2010/07/18,0.0726
2,2010/07/19,0.0859
3,2010/07/20,0.0783
4,2010/07/21,0.0767
5,2010/07/22,0.0649
6,2010/07/23,0.0566
7,2010/07/24,0.0581
8,2010/07/25,0.053
9,2010/07/26,0.053
10,2010/07/27,0.058
11,2010/07/28,0.0595
12,2010/07/29,0.0648
13,2010/07/30,0.0663
14,2010/07/31,0.0664
15,2010/08/01,0.0611
16,2010/08/02,0.0613
17,2010/08/03,0.06
18,2010/08/04,0.0597
19,2010/08/05,0.0596
20,2010/08/06,0.0622
21,2010/08/07,0.0599
22,2010/08/08,0.06
23,2010/08/09,0.066
24,2010/08/10,0.069
25,2010/08/11,0.0635
26,2010/08/12,0.069
27,2010/08/13,0.0655
28,2010/08/14,0.0663
29,2010/08/15,0.0661
30,2010/08/16,0.0643
31,2010/08/17,0.0678
32,2010/08/18,0.069
33,2010/08/19,0.0673
34,2010/08/20,0.0661
35,2010/08/21,0.066
36,2010/08/22,0.0655
37,2010/08/23,0.0655
38,2010/08/24,0.065
39,2010/08/25,0.0656
40,2010/08/26,0.0644
41,2010/08/27,0.0645
42,2010/08/28,0.0646
43,2010/08/29,0.0644
44,2010/08/30,0.0648
45,2010/08/31,0.0621
46,2010/09/01,0.0625
47,2010/09/02,0.0622
48,2010/09/03,0.0609
49,2010/09/04,0.0618
50,2010/09/05,0.062
51,2010/09/06,0.0622
52,2010/09/07,0.0613
53,2010/09/08,0.0615
54,2010/09/09,0.0611
55,2010/09/10,0.0614
56,2010/09/11,0.0628
57,2010/09/12,0.0618
58,2010/09/13,0.0621
59,2010/09/14,0.062
60,2010/09/15,0.0615
61,2010/09/16,0.0619
62,2010/09/17,0.0599
63,2010/09/18,0.06
64,2010/09/19,0.0618
65,2010/09/20,0.0621
66,2010/09/21,0.0629
67,2010/09/22,0.0623
68,2010/09/23,0.0622
69,2010/09/24,0.0621
70,2010/09/25,0.0621
71,2010/09/26,0.062
72,2010/09/27,0.0621
73,2010/09/28,0.0619
74,2010/09/29,0.062
